0.39	-0.91	0.09	8180	Standing
0.39	-0.93	0.1	8221	Standing
0.39	-0.91	0.1	8261	Standing
0.39	-0.91	0.09	8302	Standing
0.39	-0.91	0.1	8342	Standing
0.39	-0.92	0.09	8383	Standing
0.4	-0.92	0.09	8423	Standing
0.4	-0.91	0.08	8464	Standing
0.4	-0.92	0.09	8504	Standing
0.39	-0.91	0.09	8545	Standing
0.39	-0.91	0.1	8586	Standing
0.39	-0.91	0.1	8626	Standing
0.39	-0.91	0.1	8667	Standing
0.39	-0.92	0.11	8707	Standing
0.39	-0.91	0.09	8748	Standing
0.39	-0.92	0.1	8790	Standing
0.38	-0.91	0.1	8830	Standing
0.39	-0.93	0.1	8870	Standing
0.39	-0.93	0.11	8911	Standing
0.38	-0.91	0.11	8951	Standing
0.39	-0.91	0.11	8991	Standing
0.4	-0.92	0.1	9032	Standing
0.4	-0.92	0.1	9072	Standing
0.4	-0.91	0.1	9113	Standing
0.4	-0.92	0.09	9153	Standing
0.39	-0.91	0.09	9194	Standing
0.38	-0.91	0.09	9234	Standing
0.39	-0.93	0.09	9275	Standing
0.39	-0.93	0.09	9315	Standing
0.38	-0.91	0.1	9356	Standing
0.39	-0.93	0.09	9397	Standing
0.38	-0.91	0.1	9437	Standing
0.39	-0.93	0.11	9478	Standing
0.39	-0.92	0.11	9518	Standing
0.38	-0.92	0.11	9559	Standing
0.39	-0.92	0.11	9600	Standing
0.39	-0.93	0.1	9641	Standing
0.39	-0.92	0.1	9682	Standing
0.39	-0.93	0.1	9722	Standing
0.39	-0.93	0.1	9763	Standing
0.39	-0.93	0.1	9804	Standing
0.4	-0.93	0.1	9845	Standing
0.39	-0.92	0.1	9886	Standing
0.38	-0.91	0.1	9926	Standing
0.39	-0.93	0.1	9967	Standing
0.39	-0.92	0.11	10007	Standing
0.38	-0.91	0.11	10048	Standing
0.38	-0.91	0.09	10088	Standing
0.38	-0.92	0.09	10129	Standing
0.37	-0.91	0.11	10170	Standing
0.39	-0.93	0.11	10211	Standing
0.38	-0.92	0.1	10252	Standing
0.38	-0.91	0.09	10293	Standing
0.39	-0.92	0.1	10333	Standing
0.38	-0.91	0.09	10373	Standing
0.37	-0.92	0.1	10414	Standing
0.38	-0.92	0.11	10455	Standing
0.38	-0.92	0.11	10496	Standing
0.39	-0.92	0.11	10536	Standing
0.38	-0.91	0.11	10577	Standing
0.39	-0.91	0.1	10618	Standing
0.39	-0.92	0.11	10659	Standing
